Candidate,Party,Race,JurisdictionName ,County,Votes
Approved,82969,Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University,,Spokane,39.6425
Rejected,126324,Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University,,Spokane,60.3575
Repealed,126317,Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans,,Spokane,62.7806
Maintained,74887,Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans,,Spokane,37.2194
Repealed,121465,Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products,,Spokane,61.5574
Maintained,75855,Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products,,Spokane,38.4426
Barack Obama / Joe Biden,Democratic Party Nominees,United States President/Vice President,United States,Spokane,102295
Mitt Romney / Paul Ryan,Republican Party Nominees,United States President/Vice President,United States,Spokane,115285
Gary Johnson / James P. Gray,Libertarian Party Nominees,United States President/Vice President,United States,Spokane,3257
Virgil Goode / James N. Clymer,Constitution Party Nominees,United States President/Vice President,United States,Spokane,1086
Jill Stein / Cheri Honkala,Green Party Nominees,United States President/Vice President,United States,Spokane,1361
Peta Lindsay / Yari Osorio,Socialism & Liberation Party Nominees,United States President/Vice President,United States,Spokane,118
James Harris / Alyson Kennedy,Socialist Workers Party Nominees,United States President/Vice President,United States,Spokane,84
Ross C. (Rocky) Anderson / Luis J. Rodriguez,Justice Party Nominees,United States President/Vice President,United States,Spokane,344
Maria Cantwell,(Prefers Democratic Party),United States U.S. Senator,United States,Spokane,110033
Michael Baumgartner,(Prefers Republican Party),United States U.S. Senator,United States,Spokane,110372
Cathy McMorris Rodgers,(Prefers Republican Party),Congressional District 5 U.S. Representative,Congressional District 5,Spokane,132859
Rich Cowan,(Prefers Democratic Party),Congressional District 5 U.S. Representative,Congressional District 5,Spokane,86120
Jay Inslee,(Prefers Democratic Party),Washington State Governor,Washington State,Spokane,95354
Rob McKenna,(Prefers Republican Party),Washington State Governor,Washington State,Spokane,123894
Brad Owen,(Prefers Democrat Party),Washington State Lt. Governor,Washington State,Spokane,99673
Bill Finkbeiner,(Prefers Republican Party),Washington State Lt. Governor,Washington State,Spokane,110978
Kim Wyman,(Prefers Republican Party),Washington State Secretary of State,Washington State,Spokane,121352
Kathleen Drew,(Prefers Democratic Party),Washington State Secretary of State,Washington State,Spokane,87499
Jim McIntire,(Prefers Democratic Party),Washington State State Treasurer,Washington State,Spokane,102991
Sharon Hanek,(Prefers Republican Party),Washington State State Treasurer,Washington State,Spokane,104864
James Watkins,(Prefers Republican Party),Washington State State Auditor,Washington State,Spokane,115340
Troy Kelley,(Prefers Democratic Party),Washington State State Auditor,Washington State,Spokane,90855
Bob Ferguson,(Prefers Democratic Party),Washington State Attorney General,Washington State,Spokane,91030
Reagan Dunn,(Prefers Republican Party),Washington State Attorney General,Washington State,Spokane,118707
Peter J. Goldmark,(Prefers Democratic Party),Washington State Commissioner of Public Lands,Washington State,Spokane,108255
Clint Didier,(Prefers Republican Party),Washington State Commissioner of Public Lands,Washington State,Spokane,101241
Randy I. Dorn,153810,Washington State Superintendent of Public Instruction,,Spokane,100
Mike Kreidler,(Prefers Democratic Party),Washington State Insurance Commissioner,Washington State,Spokane,98790
John R. Adams,(Prefers Republican Party),Washington State Insurance Commissioner,Washington State,Spokane,106411
Andy Billig,(Prefers Democratic Party),Legislative District 3 State Senator,Legislative District 3,Spokane,29609
Nancy McLaughlin,(Prefers G.O.P. Party),Legislative District 3 State Senator,Legislative District 3,Spokane,21576
Marcus Riccelli,(Prefers Democratic Party),Legislative District 3 State Representative Pos. 1,Legislative District 3,Spokane,31303
Tim Benn,(Prefers G.O.P. Party),Legislative District 3 State Representative Pos. 1,Legislative District 3,Spokane,18641
Timm Ormsby,(Prefers Democratic Party),Legislative District 3 State Representative Pos. 2,Legislative District 3,Spokane,31261
Dave White,(Prefers Republican Party),Legislative District 3 State Representative Pos. 2,Legislative District 3,Spokane,19152
Mike Padden,(Prefers Republican  Party),Legislative District 4 State Senator,Legislative District 4,Spokane,49593
Larry Crouse,(Prefers Republican Party),Legislative District 4 State Representative Pos. 1,Legislative District 4,Spokane,48609
Matt Shea,(Prefers Republican Party),Legislative District 4 State Representative Pos. 2,Legislative District 4,Spokane,36578
Amy C. Biviano,(Prefers Democratic Party),Legislative District 4 State Representative Pos. 2,Legislative District 4,Spokane,27926
Kevin Parker,(Prefers Republican Party),Legislative District 6 State Representative Pos. 1,Legislative District 6,Spokane,47730
Dennis Dellwo,(Prefers Democratic Party),Legislative District 6 State Representative Pos. 2,Legislative District 6,Spokane,29099
Jeff Holy,(Prefers Republican Party),Legislative District 6 State Representative Pos. 2,Legislative District 6,Spokane,35334
Shelly Short,(Prefers Republican Party),Legislative District 7 State Representative Pos. 1,Legislative District 7,Spokane,20045
Joel Kretz,(Prefers Republican Party),Legislative District 7 State Representative Pos. 2,Legislative District 7,Spokane,13059
Robert (Bob) Wilson,(Prefers Republican Party),Legislative District 7 State Representative Pos. 2,Legislative District 7,Spokane,9196
Mark G. Schoesler,(Prefers G.O.P. Party),Legislative District 9 State Senator,Legislative District 9,Spokane,3489
Susan Fagan,(Prefers Republican Party),Legislative District 9 State Representative Pos. 1,Legislative District 9,Spokane,3481
Joe Schmick,(Prefers Republican  Party),Legislative District 9 State Representative Pos. 2,Legislative District 9,Spokane,3478
Todd Mielke,(Prefers Republican Party),COUNTY WIDE COMMISSIONER DISTRICT 1,COUNTY WIDE,Spokane,114181
John Roskelley,(Prefers Democratic Party),COUNTY WIDE COMMISSIONER DISTRICT 1,COUNTY WIDE,Spokane,95482
Daryl Romeyn,(Prefers Democratic Party),COUNTY WIDE COMMISSIONER DISTRICT 2,COUNTY WIDE,Spokane,94930
Shelly O'Quinn,(Prefers Republican Party),COUNTY WIDE COMMISSIONER DISTRICT 2,COUNTY WIDE,Spokane,113996
Randy A. Brandt,144390,COUNTY WIDE DISTRICT COURT JUDGE POS 8,,Spokane,100
Susan Owens,152362,Supreme Court Justice Position 2,,Spokane,100
Steve Gonzalez,151902,Supreme Court Justice Position 8,,Spokane,100
Sheryl Gordon McCloud,89086,Supreme Court Justice Position 9,,Spokane,50.3058
Richard B. Sanders,88003,Supreme Court Justice Position 9,,Spokane,49.6942
 Division 3, District 1 Judge Position 1,Court of Appeals,100,Spokane,Laurel Siddoway
Yes,1360,CITY OF MEDICAL LAKE Proposition No. 1 City of Medical Lake - Emergency Medical Services Replacement Levy,,Spokane,73.1183
No,500,CITY OF MEDICAL LAKE Proposition No. 1 City of Medical Lake - Emergency Medical Services Replacement Levy,,Spokane,26.8817
Levy Yes,364,CD-01 SPANGLE Proposition No. 1 Spangle Cemetery District No. 1 - Maintenance and Operation Support Levy,,Spokane,66.6667
Levy No,182,CD-01 SPANGLE Proposition No. 1 Spangle Cemetery District No. 1 - Maintenance and Operation Support Levy,,Spokane,33.3333
Yes,14,ROSALIA PARK DISTRICT 2 Rosalia Park and Recreation District 5 - Proposition 1 Special Levy,,Spokane,58.3333
No,10,ROSALIA PARK DISTRICT 2 Rosalia Park and Recreation District 5 - Proposition 1 Special Levy,,Spokane,41.6667
Dwight M Morgan,81,PUD 01 Commissioner #3,,Spokane,69.8276
Emil (Rosey) Rosenberg,35,PUD 01 Commissioner #3,,Spokane,30.1724
Yes,16505,Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government,,Stevens,75.9934
No,5214,Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government,,Stevens,24.0066
Yes,10292,Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system,,Stevens,47.1634
No,11530,Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system,,Stevens,52.8366
Approved,6977,Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples,,Stevens,31.3587
Rejected,15272,Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples,,Stevens,68.6413
Yes,10384,Statewide Initiative Measure No. 502 Concerns marijuana,,Stevens,46.5316
No,11932,Statewide Initiative Measure No. 502 Concerns marijuana,,Stevens,53.4684
Approved,11944,Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit,,Stevens,58.7969
Rejected,8370,Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit,,Stevens,41.2031
Approved,6135,Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University,,Stevens,29.5222
Rejected,14646,Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University,,Stevens,70.4778
Repealed,14275,Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans,,Stevens,70.9952
Maintained,5832,Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans,,Stevens,29.0048
Repealed,13520,Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products,,Stevens,68.9444
Maintained,6090,Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products,,Stevens,31.0556
Barack Obama / Joe Biden,Democratic Party Nominees,United States President/Vice President,United States,Stevens,7762
Mitt Romney / Paul Ryan,Republican Party Nominees,United States President/Vice President,United States,Stevens,13691
Gary Johnson / James P. Gray,Libertarian Party Nominees,United States President/Vice President,United States,Stevens,329
Virgil Goode / James N. Clymer,Constitution Party Nominees,United States President/Vice President,United States,Stevens,194
Jill Stein / Cheri Honkala,Green Party Nominees,United States President/Vice President,United States,Stevens,130
Peta Lindsay / Yari Osorio,Socialism & Liberation Party Nominees,United States President/Vice President,United States,Stevens,11
James Harris / Alyson Kennedy,Socialist Workers Party Nominees,United States President/Vice President,United States,Stevens,13
Ross C. (Rocky) Anderson / Luis J. Rodriguez,Justice Party Nominees,United States President/Vice President,United States,Stevens,31
Maria Cantwell,(Prefers Democratic Party),United States U.S. Senator,United States,Stevens,8671
Michael Baumgartner,(Prefers Republican Party),United States U.S. Senator,United States,Stevens,13441
Cathy McMorris Rodgers,(Prefers Republican Party),Congressional District 5 U.S. Representative,Congressional District 5,Stevens,15388
Rich Cowan,(Prefers Democratic Party),Congressional District 5 U.S. Representative,Congressional District 5,Stevens,6625
Jay Inslee,(Prefers Democratic Party),Washington State Governor,Washington State,Stevens,7426
Rob McKenna,(Prefers Republican Party),Washington State Governor,Washington State,Stevens,14554
Brad Owen,(Prefers Democrat Party),Washington State Lt. Governor,Washington State,Stevens,7854
Bill Finkbeiner,(Prefers Republican Party),Washington State Lt. Governor,Washington State,Stevens,13351
Kim Wyman,(Prefers Republican Party),Washington State Secretary of State,Washington State,Stevens,14200
Kathleen Drew,(Prefers Democratic Party),Washington State Secretary of State,Washington State,Stevens,6822
Jim McIntire,(Prefers Democratic Party),Washington State State Treasurer,Washington State,Stevens,7989
Sharon Hanek,(Prefers Republican Party),Washington State State Treasurer,Washington State,Stevens,12974
James Watkins,(Prefers Republican Party),Washington State State Auditor,Washington State,Stevens,13628
Troy Kelley,(Prefers Democratic Party),Washington State State Auditor,Washington State,Stevens,7156
Bob Ferguson,(Prefers Democratic Party),Washington State Attorney General,Washington State,Stevens,7226
Reagan Dunn,(Prefers Republican Party),Washington State Attorney General,Washington State,Stevens,13856
Peter J. Goldmark,(Prefers Democratic Party),Washington State Commissioner of Public Lands,Washington State,Stevens,8459
Clint Didier,(Prefers Republican Party),Washington State Commissioner of Public Lands,Washington State,Stevens,12793
Randy I. Dorn,14787,Washington State Superintendent of Public Instruction,,Stevens,100
Mike Kreidler,(Prefers Democratic Party),Washington State Insurance Commissioner,Washington State,Stevens,7570
John R. Adams,(Prefers Republican Party),Washington State Insurance Commissioner,Washington State,Stevens,12841
Shelly Short,(Prefers Republican Party),Legislative District 7 State Representative Pos. 1,Legislative District 7,Stevens,16909
Joel Kretz,(Prefers Republican Party),Legislative District 7 State Representative Pos. 2,Legislative District 7,Stevens,12186
Robert (Bob) Wilson,(Prefers Republican Party),Legislative District 7 State Representative Pos. 2,Legislative District 7,Stevens,6418
Mark Beck,(Prefers Republican Party),COUNTYWIDE Commissioner #1,COUNTYWIDE,Stevens,8631
Wes McCart,(Prefers Republican Party),COUNTYWIDE Commissioner #1,COUNTYWIDE,Stevens,9785
Malcolm R Friedman,(Prefers  Republican Party),COUNTYWIDE Commissioner #3,COUNTYWIDE,Stevens,9251
Steve Parker,(Prefers  Republican Party),COUNTYWIDE Commissioner #3,COUNTYWIDE,Stevens,9947
Susan Owens,14462,Supreme Court Justice Position 2,,Stevens,100
Steve Gonzalez,14192,Supreme Court Justice Position 8,,Stevens,100
Sheryl Gordon McCloud,7549,Supreme Court Justice Position 9,,Stevens,43.8386
Richard B. Sanders,9671,Supreme Court Justice Position 9,,Stevens,56.1614
 Division 3, District 1 Judge Position 1,Court of Appeals,100,Stevens,Laurel Siddoway
 Pend Oreille, Stevens Superior Court Judge Position 1,Ferry,100,Stevens,Patrick A. Monasmith
 Pend Oreille, Stevens Superior Court Judge Position 2,Ferry,100,Stevens,Allen Nielson
Yes,86,MARCUS Town of Marcus-Annex into Stevens County Fire Protection District No. 6 Proposition 1,,Stevens,87.7551
No,12,MARCUS Town of Marcus-Annex into Stevens County Fire Protection District No. 6 Proposition 1,,Stevens,12.2449
Dwight M Morgan,10229,PUBLIC UTILITY DISTRICT - 001 Commissioner #3,,Stevens,57.3471
Emil (Rosey) Rosenberg,7608,PUBLIC UTILITY DISTRICT - 001 Commissioner #3,,Stevens,42.6529
approved,1028,FIRE DISTRICT - 004 Stevens County Fire Protection Dist. 4-Restoration of Previous Property Tax Levies Proposition 1,,Stevens,60.0818
rejected,683,FIRE DISTRICT - 004 Stevens County Fire Protection Dist. 4-Restoration of Previous Property Tax Levies Proposition 1,,Stevens,39.9182
Yes,741,FIRE DISTRICT - 006 Fire Protection District No. 6-Annex Town of Marcus Proposition 1,,Stevens,91.8216
No,66,FIRE DISTRICT - 006 Fire Protection District No. 6-Annex Town of Marcus Proposition 1,,Stevens,8.1784
Yes,72694,Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government,,Thurston,59.7405
No,48989,Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government,,Thurston,40.2595
Yes,61675,Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system,,Thurston,50.1863
No,61217,Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system,,Thurston,49.8137
Approved,70285,Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples,,Thurston,56.0688
Rejected,55070,Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples,,Thurston,43.9312
Yes,70166,Statewide Initiative Measure No. 502 Concerns marijuana,,Thurston,55.6922
No,55823,Statewide Initiative Measure No. 502 Concerns marijuana,,Thurston,44.3078
Approved,71793,Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit,,Thurston,63.4724
Rejected,41316,Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit,,Thurston,36.5276
Approved,49164,Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University,,Thurston,42.7353
Rejected,65879,Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University,,Thurston,57.2647
Repealed,60028,Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans,,Thurston,54.3491
Maintained,50421,Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans,,Thurston,45.6509
Repealed,59017,Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products,,Thurston,53.7241
Maintained,50835,Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products,,Thurston,46.2759
Yes,48030,County Of Thurston Thurston County - Proposition No. 1,,Thurston,40.6641
No,70084,County Of Thurston Thurston County - Proposition No. 1,,Thurston,59.3359
Barack Obama / Joe Biden,Democratic Party Nominees,United States President/Vice President,United States,Thurston,74037
Mitt Romney / Paul Ryan,Republican Party Nominees,United States President/Vice President,United States,Thurston,49287
Gary Johnson / James P. Gray,Libertarian Party Nominees,United States President/Vice President,United States,Thurston,1737
Virgil Goode / James N. Clymer,Constitution Party Nominees,United States President/Vice President,United States,Thurston,304
Jill Stein / Cheri Honkala,Green Party Nominees,United States President/Vice President,United States,Thurston,1333
Peta Lindsay / Yari Osorio,Socialism & Liberation Party Nominees,United States President/Vice President,United States,Thurston,59
James Harris / Alyson Kennedy,Socialist Workers Party Nominees,United States President/Vice President,United States,Thurston,44
Ross C. (Rocky) Anderson / Luis J. Rodriguez,Justice Party Nominees,United States President/Vice President,United States,Thurston,262
Maria Cantwell,(Prefers Democratic Party),United States U.S. Senator,United States,Thurston,78468
Michael Baumgartner,(Prefers Republican Party),United States U.S. Senator,United States,Thurston,46449
Jaime Herrera Beutler,(Prefers Republican Party),Congressional District 3 U.S. Representative,Congressional District 3,Thurston,2914
Jon T. Haugen,(Prefers Democratic Party),Congressional District 3 U.S. Representative,Congressional District 3,Thurston,2331
Denny Heck,(Prefers Democratic Party),Congressional District 10 U.S. Representative,Congressional District 10,Thurston,73792
Richard (Dick) Muri,(Prefers Republican Party),Congressional District 10 U.S. Representative,Congressional District 10,Thurston,43952
Jay Inslee,(Prefers Democratic Party),Washington State Governor,Washington State,Thurston,67353
Rob McKenna,(Prefers Republican Party),Washington State Governor,Washington State,Thurston,57948
Brad Owen,(Prefers Democrat Party),Washington State Lt. Governor,Washington State,Thurston,70353
Bill Finkbeiner,(Prefers Republican Party),Washington State Lt. Governor,Washington State,Thurston,50078
Kim Wyman,(Prefers Republican Party),Washington State Secretary of State,Washington State,Thurston,70374
Kathleen Drew,(Prefers Democratic Party),Washington State Secretary of State,Washington State,Thurston,50133
Jim McIntire,(Prefers Democratic Party),Washington State State Treasurer,Washington State,Thurston,72586
Sharon Hanek,(Prefers Republican Party),Washington State State Treasurer,Washington State,Thurston,44940
James Watkins,(Prefers Republican Party),Washington State State Auditor,Washington State,Thurston,52515
Troy Kelley,(Prefers Democratic Party),Washington State State Auditor,Washington State,Thurston,63094
Bob Ferguson,(Prefers Democratic Party),Washington State Attorney General,Washington State,Thurston,66732
Reagan Dunn,(Prefers Republican Party),Washington State Attorney General,Washington State,Thurston,52151
Peter J. Goldmark,(Prefers Democratic Party),Washington State Commissioner of Public Lands,Washington State,Thurston,71180
Clint Didier,(Prefers Republican Party),Washington State Commissioner of Public Lands,Washington State,Thurston,45548
Randy I. Dorn,86866,Washington State Superintendent of Public Instruction,,Thurston,100
Mike Kreidler,(Prefers Democratic Party),Washington State Insurance Commissioner,Washington State,Thurston,74631
John R. Adams,(Prefers Republican Party),Washington State Insurance Commissioner,Washington State,Thurston,42718
Randi Becker,(Prefers Republican Party),Legislative District 2 State Senator,Legislative District 2,Thurston,11252
Bruce L. Lachney,(Prefers Democratic Party),Legislative District 2 State Senator,Legislative District 2,Thurston,10034
Gary Alexander,(Prefers Republican Party),Legislative District 2 State Representative Pos. 1,Legislative District 2,Thurston,11980
Greg Hartman,(Prefers Democratic Party),Legislative District 2 State Representative Pos. 1,Legislative District 2,Thurston,9215
J.T. Wilcox,(Prefers Republican Party),Legislative District 2 State Representative Pos. 2,Legislative District 2,Thurston,16157
Dan Swecker,(Prefers Republican Party),Legislative District 20 State Senator,Legislative District 20,Thurston,5058
John E. Braun,(Prefers Republican Party),Legislative District 20 State Senator,Legislative District 20,Thurston,4459
Richard DeBolt,(Prefers Republican Party),Legislative District 20 State Representative Pos. 1,Legislative District 20,Thurston,7958
Ed Orcutt,(Prefers Republican Party),Legislative District 20 State Representative Pos. 2,Legislative District 20,Thurston,5313
John Morgan,(Prefers Republican Party),Legislative District 20 State Representative Pos. 2,Legislative District 20,Thurston,3245
Karen Fraser,(Prefers Democratic Party),Legislative District 22 State Senator,Legislative District 22,Thurston,50389
Chris Reykdal,(Prefers Democratic Party),Legislative District 22 State Representative Pos. 1,Legislative District 22,Thurston,49337
Sam Hunt,(Prefers Democratic Party),Legislative District 22 State Representative Pos. 2,Legislative District 22,Thurston,49404
Kathy Haigh,(Prefers Democratic Party),Legislative District 35 State Representative Pos. 1,Legislative District 35,Thurston,10695
Dan Griffey,(Prefers Republican Party),Legislative District 35 State Representative Pos. 1,Legislative District 35,Thurston,9091
Drew C. MacEwen,(Prefers Republican Party),Legislative District 35 State Representative Pos. 2,Legislative District 35,Thurston,9028
Lynda Ring-Erickson,(Prefers Democratic Party),Legislative District 35 State Representative Pos. 2,Legislative District 35,Thurston,10373
 District No. 1,Cathy Wolfe,County Of Thurston Commissioner,57.8253,Thurston,(Prefers Democratic Party)
 District No. 1,Karen Rogers,County Of Thurston Commissioner,42.1747,Thurston,(Prefers Democratic Party)
 District No. 2,Sandra Romero,County Of Thurston Commissioner,56.6543,Thurston,(Prefers Democratic Party)
 District No. 2,Andrew Barkis,County Of Thurston Commissioner,43.3457,Thurston,(Prefers Republican Party)
Susan Owens,83406,Supreme Court Justice Position 2,,Thurston,100
Steve Gonzalez,82685,Supreme Court Justice Position 8,,Thurston,100
Sheryl Gordon McCloud,55041,Supreme Court Justice Position 9,,Thurston,54.6644
Richard B. Sanders,45648,Supreme Court Justice Position 9,,Thurston,45.3356
 Division 2, District 2 Judge Position 2,Court of Appeals,43.2536,Thurston,Pamela (Pam) Loginsky
 Division 2, District 2 Judge Position 2,Court of Appeals,56.7464,Thurston,Thomas Bjorgen
Christine Schaller,67281,Thurston Superior Court Judge Position 2,,Thurston,66.6109
Jim Johnson,33725,Thurston Superior Court Judge Position 2,,Thurston,33.3891
Erik D. Price,58313,Thurston Superior Court Judge Position 4,,Thurston,57.1035
Indu Thomas,43805,Thurston Superior Court Judge Position 4,,Thurston,42.8965
 District No. 1,Linda Oosterman,Thurston Public Utility District Commissioner,Thurston Public Utility District,Thurston,59808
 District No. 1,Steve Fossum,Thurston Public Utility District Commissioner,Thurston Public Utility District,Thurston,34702
Approved,13103,City of Olympia City of Olympia - Proposition No. 1 - Sales and Use Tax Increase of 0.1% for Public Safety and Criminal Justice Purposes,,Thurston,56.7869
Rejected,9971,City of Olympia City of Olympia - Proposition No. 1 - Sales and Use Tax Increase of 0.1% for Public Safety and Criminal Justice Purposes,,Thurston,43.2131
Yes,484,Tanglewilde Park & Recreation District No. 1 Tanglewilde Park & Recreation District No. 1 - Proposition No. 1 - Property Tax Levy,,Thurston,53.5398
No,420,Tanglewilde Park & Recreation District No. 1 Tanglewilde Park & Recreation District No. 1 - Proposition No. 1 - Property Tax Levy,,Thurston,46.4602
Yes,1438,Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government,,Wahkiakum,67.6388
No,688,Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government,,Wahkiakum,32.3612
Yes,955,Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system,,Wahkiakum,44.1721
No,1207,Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system,,Wahkiakum,55.8279
Approved,946,Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples,,Wahkiakum,42.4406
Rejected,1283,Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples,,Wahkiakum,57.5594
Yes,1094,Statewide Initiative Measure No. 502 Concerns marijuana,,Wahkiakum,48.5359
No,1160,Statewide Initiative Measure No. 502 Concerns marijuana,,Wahkiakum,51.4641
Approved,1142,Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit,,Wahkiakum,58.3248
Rejected,816,Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit,,Wahkiakum,41.6752
Approved,723,Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University,,Wahkiakum,35.6158
Rejected,1307,Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University,,Wahkiakum,64.3842
Repealed,1343,Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans,,Wahkiakum,68.2419
Maintained,625,Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans,,Wahkiakum,31.7581
Repealed,1317,Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products,,Wahkiakum,66.7173
Maintained,657,Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products,,Wahkiakum,33.2827
Barack Obama / Joe Biden,Democratic Party Nominees,United States President/Vice President,United States,Wahkiakum,1094
Mitt Romney / Paul Ryan,Republican Party Nominees,United States President/Vice President,United States,Wahkiakum,1119
Gary Johnson / James P. Gray,Libertarian Party Nominees,United States President/Vice President,United States,Wahkiakum,34
Virgil Goode / James N. Clymer,Constitution Party Nominees,United States President/Vice President,United States,Wahkiakum,11
Jill Stein / Cheri Honkala,Green Party Nominees,United States President/Vice President,United States,Wahkiakum,23
Peta Lindsay / Yari Osorio,Socialism & Liberation Party Nominees,United States President/Vice President,United States,Wahkiakum,1
James Harris / Alyson Kennedy,Socialist Workers Party Nominees,United States President/Vice President,United States,Wahkiakum,2
Ross C. (Rocky) Anderson / Luis J. Rodriguez,Justice Party Nominees,United States President/Vice President,United States,Wahkiakum,10
Maria Cantwell,(Prefers Democratic Party),United States U.S. Senator,United States,Wahkiakum,1253
Michael Baumgartner,(Prefers Republican Party),United States U.S. Senator,United States,Wahkiakum,1012
Jaime Herrera Beutler,(Prefers Republican Party),Congressional District 3 U.S. Representative,Congressional District 3,Wahkiakum,1379
Jon T. Haugen,(Prefers Democratic Party),Congressional District 3 U.S. Representative,Congressional District 3,Wahkiakum,861
Jay Inslee,(Prefers Democratic Party),Washington State Governor,Washington State,Wahkiakum,964
Rob McKenna,(Prefers Republican Party),Washington State Governor,Washington State,Wahkiakum,1287
Brad Owen,(Prefers Democrat Party),Washington State Lt. Governor,Washington State,Wahkiakum,1103
Bill Finkbeiner,(Prefers Republican Party),Washington State Lt. Governor,Washington State,Wahkiakum,1021
Kim Wyman,(Prefers Republican Party),Washington State Secretary of State,Washington State,Wahkiakum,1185
Kathleen Drew,(Prefers Democratic Party),Washington State Secretary of State,Washington State,Wahkiakum,941
Jim McIntire,(Prefers Democratic Party),Washington State State Treasurer,Washington State,Wahkiakum,1117
Sharon Hanek,(Prefers Republican Party),Washington State State Treasurer,Washington State,Wahkiakum,967
James Watkins,(Prefers Republican Party),Washington State State Auditor,Washington State,Wahkiakum,1101
Troy Kelley,(Prefers Democratic Party),Washington State State Auditor,Washington State,Wahkiakum,947
Bob Ferguson,(Prefers Democratic Party),Washington State Attorney General,Washington State,Wahkiakum,1020
Reagan Dunn,(Prefers Republican Party),Washington State Attorney General,Washington State,Wahkiakum,1049
Peter J. Goldmark,(Prefers Democratic Party),Washington State Commissioner of Public Lands,Washington State,Wahkiakum,1072
Clint Didier,(Prefers Republican Party),Washington State Commissioner of Public Lands,Washington State,Wahkiakum,1023
Randy I. Dorn,1404,Washington State Superintendent of Public Instruction,,Wahkiakum,100
Mike Kreidler,(Prefers Democratic Party),Washington State Insurance Commissioner,Washington State,Wahkiakum,1051
John R. Adams,(Prefers Republican Party),Washington State Insurance Commissioner,Washington State,Wahkiakum,982
